spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,4.3024990039403147e+03,2.1512495019701573e+03,4.9999999999999994e-01,True,1,1,1.1546931107312019e-02,8.9761339393218689e-02,5.5456642209841728e-02,9.1588018712465663e-02,5.8366996874134477e-02,1.0644469340666016e-01,6.1668721063042236e-03,1.9793550401335687e-04,1.9793554091781466e-04,1.9793553958288640e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,2.8413312523421664e+03,1.4206656261710827e+03,4.9999999999999978e-01,True,1,1,1.8701324765283401e-02,1.4621667488747092e-01,8.0731181846446856e-02,1.4965495964132344e-01,8.6803307444160330e-02,1.6901003285793881e-01,1.4979411602409724e-02,6.6755138212117385e-04,6.6755091294474784e-04,6.6755146916911475e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,2.2413077310093258e+03,1.1206538655046629e+03,5.0000000000000000e-01,True,1,1,2.6004441381186096e-02,2.0762687351790143e-01,9.9886393021781594e-02,2.1302651975196499e-01,1.1067371102068961e-01,2.3384045546739674e-01,2.7170479307655111e-02,1.5951485392681486e-03,1.5951478286417506e-03,1.5951484954790946e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,1.9385820336604402e+03,9.6929101683021997e+02,4.9999999999999994e-01,True,1,1,3.3290683840443286e-02,2.7358100608718838e-01,1.1380101424842790e-01,2.8125734563210275e-01,1.3118610981413317e-01,3.0157601980136378e-01,4.2492204578636471e-02,3.1508579497735584e-03,3.1508549336305650e-03,3.1508579835834594e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,1.7779682247875112e+03,8.8898411239375537e+02,4.9999999999999989e-01,True,1,1,4.0418628800014123e-02,3.4347586524017404e-01,1.2314024401003967e-01,3.5372436666886586e-01,1.4936121630873628e-01,3.7235840491240751e-01,6.0795032791965048e-02,5.5115920187307210e-03,5.5115876882996639e-03,5.5115920115741211e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,1.7047960949449548e+03,8.5239804747247729e+02,4.9999999999999989e-01,True,1,1,4.7204942817883615e-02,4.1645917059797233e-01,1.2821333930914627e-01,4.2955405614643272e-01,1.6588280376731473e-01,4.4578811222479808e-01,8.1919452914627058e-02,8.8501397502619983e-03,8.8501375824635090e-03,8.8501398489958839e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,1.7005114639129843e+03,8.5025573195649201e+02,4.9999999999999989e-01,True,1,1,5.3392923582403579e-02,4.9133202496578970e-01,1.2906416676894183e-01,5.0751787683146676e-01,1.8117613462581975e-01,5.2094255977548920e-01,1.0560558356556599e-01,1.3316432257860084e-02,1.3316428325515540e-02,1.3316432684694523e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,1.7663214032691135e+03,8.8316070163455663e+02,4.9999999999999989e-01,True,1,1,5.8624194314231090e-02,5.6645102993067087e-01,1.2556111833239822e-01,5.8593030452792216e-01,1.9548182744535061e-01,5.9635821459593819e-01,1.3141090803025990e-01,1.9010756295673059e-02,1.9010754265498597e-02,1.9010756369654731e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,1.9231570221846991e+03,9.6157851109234934e+02,4.9999999999999989e-01,True,1,1,6.2401681695008565e-02,6.3964096925716663e-01,1.1747122775308086e-01,6.6256033027782479e-01,2.0891410636495811e-01,6.6999381386630508e-01,1.5864008745520020e-01,2.5951651827247513e-02,2.5951644610087664e-02,2.5951651717053249e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-4.0000000000000002e-01,4.1887902047863905e+00,2.2272295869712393e+03,1.1136147934856194e+03,4.9999999999999978e-01,True,1,1,6.4026241904935180e-02,7.0812589546070259e-01,1.0452439687852841e-01,7.3456701017528048e-01,2.2152143831418764e-01,7.3919867572003894e-01,1.8630578493794933e-01,3.4047048963359305e-02,3.4047038437497040e-02,3.4047048821417264e-02
