detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_112,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_112,gradient_local_minimum,54,54,9.9999990653023052e-01,9.9999999999999956e-01,2.4001358141867053e+00,1.8059913241389725e+00,4.0733093998782,0.6981319595863255,3.141592653589793,3.141391747001339,0.5702050030797049,0.022661649093523768
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_117,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_117,gradient_local_minimum,55,55,9.9999988914564542e-01,1.0000000000000002e+00,6.8700458092305836e-02,1.6383518492802507e+00,3.9710791808197268,2.5456405010477634,0.9645414771395423,3.1417561335209125,1.2570929349096478,0.37166033876445304
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_120,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_120,gradient_local_minimum,56,56,9.9999988352281144e-01,1.0000000000000002e+00,2.2823130666246763e+00,1.6718605996503959e+00,3.079786777801843,0.3958620553173931,3.141586590364974,3.1412212057018754,0.9975980016069311,5.738016592109536
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_122,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_122,gradient_local_minimum,57,57,9.9999988245261073e-01,1.0000000000000002e+00,7.7631714200383406e-01,1.7007160680730551e+00,4.843982430053435,0.13691555577382047,2.9909762216337503,3.2080072261895722,1.9408194571149342,0.03720908207310656
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_124,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_124,gradient_local_minimum,58,58,9.9999987914429400e-01,9.9999999999999956e-01,2.3468376217736000e+00,1.7982655020448821e+00,4.4279585768223235,0.49748076629084326,3.1413581476381514,3.142641338555171,1.0510793888639185,1.9773460302866854
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_125,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_125,gradient_local_minimum,59,59,9.9999987788528655e-01,9.9999999999999989e-01,3.1380931859412842e+00,1.5729894421212096e+00,4.251232690869974,3.1198299009366433,2.288724631690957,3.1413254021293,0.6422967085565405,3.1416445685202325
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_128,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_128,gradient_local_minimum,60,60,9.9999987294714032e-01,1.0000000000000000e+00,2.3199771934445552e+00,1.5952230389441149e+00,3.820805647251862,0.05246587238753235,3.0551517843976903,3.5035875464787147,1.1775531824729744,0.371304063817531
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_129,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_129,gradient_local_minimum,61,61,9.9999987107400989e-01,1.0000000000000000e+00,2.3281453893370436e+00,1.7844830013189461e+00,4.935182479008462,0.37089831427646647,3.14127149315943,3.14012728167521,1.557274904906726,6.069597858402425
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_130,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_130,gradient_local_minimum,62,62,9.9999987078253072e-01,1.0000000000000000e+00,2.3174565170724564e+00,1.7713272660694512e+00,4.829350893255613,0.348837139554829,3.1414762877753177,3.142664216368345,1.608588779867959,0.6577277600246243
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_132,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_132,gradient_local_minimum,63,63,9.9999986744056579e-01,9.9999999999999978e-01,2.2928757780674478e+00,1.5703865453694332e+00,2.767692406080762,0.05123739747089693,3.08183251838157,5.094240878973026,0.5642002838269278,5.047805301235204
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_134,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_134,gradient_local_minimum,64,64,9.9999986552256148e-01,1.0000000000000002e+00,7.4945917105958104e-01,1.5403725197558806e+00,4.437422084892842,0.053567014463011035,3.0510553164106367,0.4754069662997295,1.7146304738360774,3.5988845855741447
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_136,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_136,gradient_local_minimum,65,65,9.9999985942626590e-01,9.9999999999999989e-01,2.3738870054656838e+00,1.7800244217164500e+00,3.5223395792610006,0.6163290323231059,3.141592653589793,3.1419798703624138,0.6475272463952491,0.0006249456326443088
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_139,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_139,gradient_local_minimum,66,66,9.9999985370361733e-01,1.0000000000000002e+00,2.4020986863902922e+00,1.6207537442862483e+00,4.086022482166086,0.007042161981164686,3.0886260194094564,0.6241583913089271,0.8223931308280322,0.6126024377203666
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_141,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_141,gradient_local_minimum,67,67,9.9999985023472160e-01,9.9999999999999978e-01,9.0071076629540436e-01,1.6427292509847926e+00,3.2769221743359385,0.21937488364530855,3.131787675037378,3.1701004045277434,1.1209213895722927,3.178024325563179
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_145,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_145,gradient_local_minimum,68,68,9.9999984665549213e-01,1.0000000000000002e+00,7.9014549294615144e-01,1.4245056259011775e+00,3.966833066118209,0.31107856745987084,3.1362366179113543,0.012505780558927778,1.363666249479251,3.9365454663652524
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_146,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_146,gradient_local_minimum,69,69,9.9999984612413606e-01,9.9999999999999989e-01,3.0964462633519534e+00,1.5161642789327545e+00,4.099610157953741,2.635269426117822,1.3554098084388198,6.282902768557334,0.9785121516477749,3.721689288932147
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_150,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_150,gradient_local_minimum,70,70,9.9999983901355494e-01,1.0000000000000000e+00,8.2509593093136235e-01,1.5575514600903857e+00,3.2495599406505615,0.06196565081292445,3.0383912686570786,5.633406496636594,0.9445594402337807,2.475309678195027
