canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out
63,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_777,D_W,0.009682359168423955,1.0,2.3407176488595582,1.3995517657041066,1.1094491943931342,0.08531158444915775,3.1415159545503983,1.8896507589632074,0.12541426344506412,0.0
64,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_782,D_W,0.009845390675709359,1.0,2.364513561690499,1.3707722730297194,1.1304121845777302,0.09620540508242992,2.8285169416228855,1.6241053242395298,0.1906469378492232,2.2333471418516976e-05
65,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_786,D_W,0.009953597348089033,1.0000000000000002,2.365326194800171,1.370584346243604,1.1285072787829231,0.09522415706841354,3.053705050148434,1.5895911030339003,1.539747715717633,6.272892244231992
66,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_795,D_W,0.010215308649166975,1.0,2.368474544954292,1.3705715191839052,1.1291134549262385,0.09555602420991169,3.140961983904426,1.558546487615346,4.918638337287205,0.00010890270135426097
67,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_812,D_W,0.01078610607256211,0.9999999999999998,2.3638087710311044,1.3635838250922445,1.1359665489187556,0.09898094445821995,0.35960543344810286,1.684125033998749,1.2428214059236469,6.170801386907982
68,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_831,D_W,0.011437783891741162,0.9999999999999998,2.3807655347979058,1.3809873141250277,1.1586972252889411,0.11034737968581916,0.0,1.7004229378495734,0.8024176920435255,6.283175524869597
69,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_840,D_W,0.011640326342322333,0.9999999999999999,2.3185035364259217,1.7221856968406803,1.0739341667550222,0.06382141584133816,3.141592653589793,1.622213477515228,4.914121596417542,3.141605434864291
70,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_847,D_W,0.011871564450729507,1.0,2.3406717885839896,1.4421737384718616,1.0996980321056298,0.08084634944998258,3.140033935992747,2.042183592496538,6.269078243724729,8.622369806717212e-06
71,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_890,D_W,0.013347383684747976,1.0000000000000002,2.387464487026842,1.3908397643630752,1.1276502658015515,0.094823172001755,0.11730654665368101,1.3520954135023935,5.511548706689583,8.800403195902914e-05
72,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_930,D_W,0.014895242368939719,1.0000000000000002,2.3871058509188137,1.728226026744588,1.1181265450044033,0.0900467001016241,0.16689710972195756,1.2196366406940649,1.7558460214631972,3.1439562137500707
73,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_932,D_W,0.015058566162756587,1.0,2.3873933624868955,1.7256129217949427,1.1175847184781333,0.08979160780508699,0.03402123054961583,1.2118591142488853,3.3385759586617527,3.1416100703696057
74,W,electron,3,6,dw_mixing_angles_polarization_06_local_minimum_933,D_W,0.015128227981771108,1.0000000000000002,2.3897940267143074,1.3723144027566287,1.1613660055552253,0.11026866523768816,0.07027307269556667,1.624058855007219,0.9882045201846449,6.172589049283239
