Q2,t,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
1.0000000000000000e+00,-3.4999999999999998e-01,2.6265709555863805e+02,1.0000000000000000e+00,True,1,1,6.7617525878157252e-17,1.4063535770610268e-16,4.8058994732594268e-01,0.0000000000000000e+00,4.8058995586504089e-01,4.8058995586504066e-01,0.0000000000000000e+00,-2.4350433643006720e-32,8.2076095919703107e-09,8.2076093699257058e-09
1.2500000000000000e+00,-3.4999999999999998e-01,2.6141014425312187e+02,9.9999999999999978e-01,True,1,1,7.9721299504161988e-17,2.3845809743290628e-16,4.4553756042519788e-01,0.0000000000000000e+00,4.4553756730612376e-01,4.4553756730612376e-01,0.0000000000000000e+00,-6.3217749825953711e-32,6.1314218979813262e-09,6.1314218979813262e-09
1.5000000000000000e+00,-3.4999999999999998e-01,2.7552839801078778e+02,9.9999999999999978e-01,True,1,1,4.4105833449485165e-17,1.0052450907486886e-16,4.0226280594252328e-01,0.0000000000000000e+00,4.0226280931253017e-01,4.0226280931253017e-01,0.0000000000000000e+00,-1.2050501469017117e-32,2.7112568856679786e-09,2.7112568856679786e-09
1.7500000000000000e+00,-3.4999999999999998e-01,3.0388346962680373e+02,9.9999999999999978e-01,True,1,1,1.1040481536886452e-17,1.9531205108069404e-17,3.5769230338651525e-01,0.0000000000000000e+00,3.5769230896426807e-01,3.5769230896426929e-01,0.0000000000000000e+00,-5.0336020553980699e-34,3.9902385284840136e-09,3.9902393889068577e-09
2.0000000000000000e+00,-3.4999999999999998e-01,3.4992519270223499e+02,1.0000000000000000e+00,True,1,1,3.2997796806474133e-17,3.2742648054081572e-17,3.1476682576398379e-01,0.0000000000000000e+00,3.1476682576398396e-01,3.1476682576398396e-01,0.0000000000000000e+00,-2.1609355956748060e-33,1.1102230246251565e-16,1.1102230246251565e-16
2.2500000000000000e+00,-3.4999999999999998e-01,4.2264908397824240e+02,1.0000000000000000e+00,True,1,1,7.4683550467540123e-17,7.0999119063727590e-18,2.7443051741964802e-01,0.0000000000000000e+00,2.7443051814018704e-01,2.7443051814018743e-01,0.0000000000000000e+00,-5.6280414595158662e-33,3.9547579100407404e-10,3.9547599917089116e-10
2.5000000000000000e+00,-3.4999999999999998e-01,5.4246943158856584e+02,1.0000000000000000e+00,True,1,1,1.9070385535993398e-16,1.5054248927259466e-16,2.3637286201523225e-01,0.0000000000000000e+00,2.3637286250317857e-01,2.3637286250317857e-01,0.0000000000000000e+00,-5.9031001525531903e-32,2.3067453502889634e-10,2.3067453502889634e-10
2.7500000000000000e+00,-3.4999999999999998e-01,7.6253775994749390e+02,1.0000000000000002e+00,True,1,1,7.5736127818923787e-17,2.1767481951349475e-16,1.9901055820706254e-01,1.4901161193847656e-08,1.9901056011304177e-01,1.9901056011304177e-01,3.4242510930550929e-09,2.2204460492503126e-16,7.5861998627413385e-10,7.5861998627413385e-10
3.0000000000000000e+00,-3.4999999999999998e-01,1.2786253148600665e+03,9.9999999999999989e-01,True,1,1,5.7617660229042956e-17,1.4961340222340302e-16,1.5812948823271203e-01,2.1073424255447017e-08,1.5812948950469186e-01,1.5812948950469397e-01,3.8478430317459556e-09,4.4408920985006271e-16,4.0227503966816514e-10,4.0227570927142686e-10
1.0000000000000000e+00,-2.7499999999999991e-01,3.5835004715958871e+02,1.0000000000000000e+00,True,1,1,1.1125629114511494e-16,1.8587539726969994e-16,5.1530064030891798e-01,0.0000000000000000e+00,5.1530064649946150e-01,5.1530064649946217e-01,0.0000000000000000e+00,-4.6927625629535357e-32,6.3799820981813582e-09,6.3799828198263242e-09
1.2500000000000000e+00,-2.7499999999999991e-01,3.4388426634745849e+02,9.9999999999999989e-01,True,1,1,1.9704405750608470e-17,2.0645861143168240e-17,4.9651319792111615e-01,0.0000000000000000e+00,4.9651320295272267e-01,4.9651320295272267e-01,0.0000000000000000e+00,-8.1451518832759648e-34,4.9965181159183913e-09,4.9965181159183913e-09
1.5000000000000000e+00,-2.7499999999999991e-01,3.5078346680362216e+02,1.0000000000000000e+00,True,1,1,1.6400680711017544e-16,3.0861839600617041e-16,4.6308494550885093e-01,0.0000000000000000e+00,4.6308494885058060e-01,4.6308494885057966e-01,0.0000000000000000e+00,-1.2214354713189571e-31,3.0950094154214014e-09,3.0950085272429817e-09
1.7500000000000000e+00,-2.7499999999999991e-01,3.7654749996946498e+02,1.0000000000000000e+00,True,1,1,7.2887007900765088e-17,2.7499933286881967e-17,4.2260878907189497e-01,0.0000000000000000e+00,4.2260879173272875e-01,4.2260879173272820e-01,0.0000000000000000e+00,-6.0687622515091510e-33,2.2489834994310343e-09,2.2489830275862488e-09
2.0000000000000000e+00,-2.7499999999999991e-01,4.2469814466758760e+02,1.0000000000000000e+00,True,1,1,8.8900808042438128e-17,7.9261020342050797e-17,3.7923817286528044e-01,0.0000000000000000e+00,3.7923817692814404e-01,3.7923817692814465e-01,0.0000000000000000e+00,-1.4185663016261423e-32,3.0815859586308392e-09,3.0815864027200490e-09
2.2500000000000000e+00,-2.7499999999999991e-01,5.0588661761625576e+02,1.0000000000000000e+00,True,1,1,1.1225335046453651e-16,4.7172686129442105e-17,3.3495006980549191e-01,2.1073424255447017e-08,3.3495007353211653e-01,3.3495007353211687e-01,8.1505057055477921e-09,4.4408920985006271e-16,2.4964663669635456e-09,2.4964665890081505e-09
2.5000000000000000e+00,-2.7499999999999991e-01,6.4547391315334346e+02,1.0000000000000000e+00,True,1,1,7.0226513631572339e-17,6.4873431049461641e-17,2.9008226694294537e-01,0.0000000000000000e+00,2.9008226889129984e-01,2.9008226889129984e-01,0.0000000000000000e+00,-9.1403252729746697e-33,1.1303661756612016e-09,1.1303661756612016e-09
2.7500000000000000e+00,-2.7499999999999991e-01,9.1213706381413226e+02,1.0000000000000000e+00,True,1,1,4.7504763243186630e-17,9.0849827814213893e-17,2.4319484759457435e-01,0.0000000000000000e+00,2.4319485207575103e-01,2.4319485207574967e-01,0.0000000000000000e+00,-1.0510393744663528e-32,2.1795981755556859e-09,2.1795975163607650e-09
3.0000000000000000e+00,-2.7499999999999991e-01,1.5733165404317856e+03,9.9999999999999978e-01,True,1,1,7.4657828380239087e-17,8.3574363138747712e-17,1.8922828944277761e-01,0.0000000000000000e+00,1.8922829020795631e-01,1.8922829020795748e-01,0.0000000000000000e+00,-1.2558465512500504e-32,2.8958691694613847e-10,2.8958735409645442e-10
1.0000000000000000e+00,-2.0000000000000001e-01,5.7538192472085143e+02,1.0000000000000000e+00,True,1,1,2.9867708841733607e-17,1.6930309697529826e-16,5.6462034000747485e-01,0.0000000000000000e+00,5.6462034608349754e-01,5.6462034608349754e-01,0.0000000000000000e+00,-2.9555618676881824e-32,6.8612919790211890e-09,6.8612919790211890e-09
1.2500000000000000e+00,-2.0000000000000001e-01,5.1616722758379888e+02,1.0000000000000002e+00,True,1,1,9.2641410435310561e-17,7.5193081037540697e-17,5.9038822985121964e-01,0.0000000000000000e+00,5.9038823510103100e-01,5.9038823510103100e-01,0.0000000000000000e+00,-1.4236430363361830e-32,6.1988536526058624e-09,6.1988536526058624e-09
1.5000000000000000e+00,-2.0000000000000001e-01,4.8998275446524531e+02,9.9999999999999978e-01,True,1,1,5.1415878151766268e-17,1.0242396992646676e-16,5.9601204589484813e-01,0.0000000000000000e+00,5.9601204814884601e-01,5.9601204814884623e-01,0.0000000000000000e+00,-1.3134262141615042e-32,2.6868197666729543e-09,2.6868200442287105e-09
1.7500000000000000e+00,-2.0000000000000001e-01,4.8937753966229877e+02,1.0000000000000000e+00,True,1,1,8.9144373066900820e-17,1.4878938042304097e-16,5.8502143027343723e-01,0.0000000000000000e+00,5.8502143206681312e-01,5.8502143206681256e-01,0.0000000000000000e+00,-3.0084998976163201e-32,2.0983266790786104e-09,2.0983260129447956e-09
2.0000000000000000e+00,-2.0000000000000001e-01,5.1517698630188056e+02,1.0000000000000000e+00,True,1,1,5.7746307816725657e-17,1.5634911620529607e-16,5.5965067179833805e-01,0.0000000000000000e+00,5.5965068049615041e-01,5.5965068049615052e-01,0.0000000000000000e+00,-2.7779682204641202e-32,9.7354731498633384e-09,9.7354732608856409e-09
