local_minimum_id,contour_point_count,original_contour_cut,target_covariance_cut,covariance_rank,covariance_min_eigenvalue,covariance_max_eigenvalue,requested_samples,attempted_samples,accepted_samples,rejected_samples,rejection_fraction
933,1535,0.05,0.02,8,3.17334068951176e-05,0.00013915267534493945,2000,2000,2000,0,0.0
934,1535,0.05,0.02,8,3.336947556648946e-05,0.00012171396942075778,2000,2000,2000,0,0.0
935,1533,0.05,0.02,8,3.051827389050524e-05,0.0001251671161546474,2000,2000,2000,0,0.0
936,1535,0.05,0.02,8,2.929426618491653e-05,0.00014439297924902933,2000,2000,2000,0,0.0
937,1535,0.05,0.02,8,5.1056309800958826e-05,0.0001699159496371798,2000,2000,2000,0,0.0
938,1526,0.05,0.02,8,2.7136572394083563e-05,0.00011759527749971715,2000,2000,2000,0,0.0
939,1535,0.05,0.02,8,3.3507928754968545e-05,0.00013809555290700886,2000,2000,2000,0,0.0
940,1535,0.05,0.02,8,3.2851090983327976e-05,0.0001249361166212851,2000,2000,2000,0,0.0
941,1534,0.05,0.02,8,3.0757634271219426e-05,0.0001299678714199998,2000,2000,2000,0,0.0
942,1511,0.05,0.02,8,2.5946584086687435e-05,0.00011356655767717175,2000,2000,2000,0,0.0
943,1535,0.05,0.02,8,3.1878850651237826e-05,0.00012399088429583348,2000,2000,2000,0,0.0
944,1534,0.05,0.02,8,3.0105463353234474e-05,0.00013729055984542982,2000,2000,2000,0,0.0
945,1535,0.05,0.02,8,2.980252615089437e-05,0.00012891005896424656,2000,2000,2000,0,0.0
946,1535,0.05,0.02,8,3.1149086666647216e-05,0.00011069329717380677,2000,2000,2000,0,0.0
947,1534,0.05,0.02,8,2.818293409265722e-05,0.00012040002044837429,2000,2000,2000,0,0.0
948,1535,0.05,0.02,8,3.23699104201685e-05,0.00013983594900898,2000,2000,2000,0,0.0
949,1534,0.05,0.02,8,2.617045015904131e-05,0.00010041467612578465,2000,2000,2000,0,0.0
950,1532,0.05,0.02,8,2.8882662588216375e-05,0.00013090820948323358,2000,2000,2000,0,0.0
951,1533,0.05,0.02,8,2.9972067752997877e-05,0.0001400214740582994,2000,2000,2000,0,0.0
952,1534,0.05,0.02,8,2.91140492828835e-05,0.00011774179502546134,2000,2000,2000,0,0.0
953,1535,0.05,0.02,8,2.9380583407469117e-05,0.00014493283823335546,2000,2000,2000,0,0.0
954,1535,0.05,0.02,8,3.293361054074115e-05,0.0001304124435534979,2000,2000,2000,0,0.0
955,1535,0.05,0.02,8,2.7602967346892785e-05,0.00012236307772418669,2000,2000,2000,0,0.0
956,1535,0.05,0.02,8,4.325325968646299e-05,0.00014143820172286348,2000,2000,2000,0,0.0
957,1534,0.05,0.02,8,3.1140576368110435e-05,0.0001333379395213148,2000,2000,2000,0,0.0
958,1535,0.05,0.02,8,2.918657312527257e-05,0.00013135303720539506,2000,2000,2000,0,0.0
959,1535,0.05,0.02,8,2.840587201935976e-05,0.00012777556581803379,2000,2000,2000,0,0.0
960,1533,0.05,0.02,8,2.6610374888456434e-05,0.0001210064911936992,2000,2000,2000,0,0.0
961,1535,0.05,0.02,8,3.0404016633925417e-05,0.00011133878842051617,2000,2000,2000,0,0.0
962,1534,0.05,0.02,8,2.9291631262656407e-05,0.00011500438086495401,2000,2000,2000,0,0.0
963,1533,0.05,0.02,8,2.6211622790690655e-05,0.00012004444878125565,2000,2000,2000,0,0.0
964,1535,0.05,0.02,8,3.2155845507411134e-05,0.00013656472610643948,2000,2000,2000,0,0.0
965,1535,0.05,0.02,8,3.058970002527188e-05,0.0001229854540406793,2000,2000,2000,0,0.0
966,1535,0.05,0.02,8,3.1115968960035325e-05,0.00012650526360924523,2000,2000,2000,0,0.0
967,1534,0.05,0.02,8,4.3525491516878645e-05,0.00018165036622641898,2000,2000,2000,0,0.0
968,1535,0.05,0.02,8,2.995009382854169e-05,0.00014391963730113415,2000,2000,2000,0,0.0
969,1146,0.05,0.02,8,2.1123368681116355e-05,0.0001291159918713917,2000,2766,2000,766,0.2769342010122921
970,1535,0.05,0.02,8,3.0455526920746922e-05,0.0001219882455196131,2000,2000,2000,0,0.0
971,1535,0.05,0.02,8,3.0985033725306824e-05,0.00012458488429652035,2000,2000,2000,0,0.0
972,1419,0.05,0.02,8,2.1616193903964602e-05,0.00010013864420062681,2000,2028,2000,28,0.013806706114398421
973,1534,0.05,0.02,8,2.96225290675235e-05,0.00012010698483218266,2000,2000,2000,0,0.0
974,1509,0.05,0.02,8,2.0765185312420735e-05,8.406213603643106e-05,2000,2000,2000,0,0.0
975,1534,0.05,0.02,8,2.878002230993037e-05,0.00013163948415685097,2000,2000,2000,0,0.0
976,1535,0.05,0.02,8,2.9228481104392123e-05,0.00012823684815782457,2000,2000,2000,0,0.0
977,1535,0.05,0.02,8,3.1202900153406204e-05,0.0001399102708129264,2000,2000,2000,0,0.0
978,1535,0.05,0.02,8,2.8671027133456195e-05,0.0001376062182694139,2000,2000,2000,0,0.0
979,1535,0.05,0.02,8,2.8393531503743406e-05,0.00011471002491018285,2000,2000,2000,0,0.0
980,1534,0.05,0.02,8,2.8963361042420905e-05,0.00013844260344073695,2000,2000,2000,0,0.0
981,1535,0.05,0.02,8,3.0749341623448456e-05,0.00012336516126453773,2000,2000,2000,0,0.0
982,1534,0.05,0.02,8,2.82017832625066e-05,0.00012057838710401243,2000,2000,2000,0,0.0
983,1535,0.05,0.02,8,3.1174278468895116e-05,0.00012170309696187336,2000,2000,2000,0,0.0
984,1534,0.05,0.02,8,2.8590588533510445e-05,0.0001503581337437025,2000,2000,2000,0,0.0
985,1535,0.05,0.02,8,2.9150529671615047e-05,0.00012777554661835272,2000,2000,2000,0,0.0
986,1534,0.05,0.02,8,2.830110992022426e-05,0.00010866339358728075,2000,2000,2000,0,0.0
987,1535,0.05,0.02,8,2.734082293648717e-05,0.00010466208862254108,2000,2000,2000,0,0.0
988,1535,0.05,0.02,8,2.844307371590816e-05,0.00011524232143228868,2000,2000,2000,0,0.0
989,1535,0.05,0.02,8,3.087796575847422e-05,0.00013023295489400654,2000,2000,2000,0,0.0
990,1534,0.05,0.02,8,3.0764688293196403e-05,0.0001273196408926868,2000,2000,2000,0,0.0
991,1535,0.05,0.02,8,3.219178248548126e-05,0.00011683079844989984,2000,2000,2000,0,0.0
992,1535,0.05,0.02,8,3.296190260641381e-05,0.00012260420378232994,2000,2000,2000,0,0.0
993,1533,0.05,0.02,8,2.772731437161031e-05,0.0001564237517544195,2000,2000,2000,0,0.0
994,1535,0.05,0.02,8,2.9522674301301136e-05,0.00013112613060315786,2000,2000,2000,0,0.0
995,1534,0.05,0.02,8,2.9503418971511448e-05,0.00012036281171475648,2000,2000,2000,0,0.0
996,1535,0.05,0.02,8,2.9793389099568257e-05,0.00016171252255416693,2000,2000,2000,0,0.0
997,1535,0.05,0.02,8,3.1561688664111405e-05,0.00014226022300479265,2000,2000,2000,0,0.0
998,1535,0.05,0.02,8,3.221073715363003e-05,0.0001266885193368187,2000,2000,2000,0,0.0
999,1535,0.05,0.02,8,3.0200545050131597e-05,0.00010470008130880075,2000,2000,2000,0,0.0
1000,1535,0.05,0.02,8,3.131516912227378e-05,0.00012835892046801178,2000,2000,2000,0,0.0
1001,1535,0.05,0.02,8,3.0408698423597952e-05,0.00011961800019684808,2000,2000,2000,0,0.0
1002,1535,0.05,0.02,8,3.055636048805199e-05,0.00014333952984506586,2000,2000,2000,0,0.0
1003,1535,0.05,0.02,8,3.26152564155822e-05,0.00011009783527302407,2000,2000,2000,0,0.0
1004,1535,0.05,0.02,8,2.992932484449483e-05,0.0001149317590254147,2000,2000,2000,0,0.0
1005,1534,0.05,0.02,8,2.808868579309435e-05,0.00012238506723135373,2000,2000,2000,0,0.0
1006,1535,0.05,0.02,8,2.9104235154595494e-05,0.00012001592182095356,2000,2000,2000,0,0.0
1007,1535,0.05,0.02,8,2.9544909547923042e-05,0.00013210891497447862,2000,2000,2000,0,0.0
1008,1535,0.05,0.02,8,3.0346041392021474e-05,0.00011779765201093008,2000,2000,2000,0,0.0
1009,1075,0.05,0.02,8,1.1221529864278645e-05,9.732557584069725e-05,2000,4138,2000,2138,0.5166747220879652
1010,1535,0.05,0.02,8,3.087228934264328e-05,0.00011528725022209601,2000,2000,2000,0,0.0
1011,1535,0.05,0.02,8,3.0056160058142e-05,0.00012223162679545467,2000,2000,2000,0,0.0
1012,1535,0.05,0.02,8,3.062465540495177e-05,0.0001253879037667333,2000,2000,2000,0,0.0
1013,1534,0.05,0.02,8,2.815136822227053e-05,0.0001234062273805846,2000,2000,2000,0,0.0
1014,1535,0.05,0.02,8,2.8800199140925025e-05,0.0001167446565599245,2000,2000,2000,0,0.0
1015,1535,0.05,0.02,8,3.0191924328660097e-05,0.00012048375128176089,2000,2000,2000,0,0.0
1016,1535,0.05,0.02,8,2.7521076654793688e-05,0.00011893843605525503,2000,2000,2000,0,0.0
1017,1535,0.05,0.02,8,3.061052107731899e-05,0.00012290535995559918,2000,2000,2000,0,0.0
1018,1535,0.05,0.02,8,2.7452522127813936e-05,0.00011830701595104968,2000,2000,2000,0,0.0
1019,1535,0.05,0.02,8,2.7441546009540804e-05,0.00011669936090070325,2000,2000,2000,0,0.0
1020,1535,0.05,0.02,8,2.705726874212365e-05,0.00013057367145595397,2000,2000,2000,0,0.0
1021,1535,0.05,0.02,8,2.917403935075005e-05,0.00012773838144040193,2000,2000,2000,0,0.0
1022,1535,0.05,0.02,8,2.9612682531296313e-05,0.00012681644969180983,2000,2000,2000,0,0.0
